lat,lng,name,pemaju_nama,hargaMin,hargaMax,permit_year,status_keseluruhan
3.100492,101.668435,RESIDENSI NESTREE,PICOLAND SDN. BHD.,"732,000.00","3,393,000.00",2026,Lewat
3.05317,101.67835,RESIDENSI OAK,BERJAYA HARTANAH BERHAD,"854,000.00","1,535,000.00",2027,Lancar
3.143958,101.638767,RESIDENSI OPERA,SIME DARBY PROPERTY (GOLFHOME) SDN. BHD.,"5,166,960.00","9,677,760.00",2026,Lancar
3.184001,101.722185,RESIDENSI PADANG,59 INC SDN. BHD.,"300,000.00","1,592,800.00",2026,Lancar
3.102376,101.665786,RESIDENSI PANTAI SENTRAL 3,AMONA DEVELOPMENT SDN. BHD.,"838,000.00","1,036,000.00",2026,Lewat
3.17943,101.65778,RESIDENSI PAPIRUS YAKIN,YAKIN LAND SDN. BHD.,"1,041,600.00","4,579,200.00",2026,Lancar
3.221555,101.726668,RESIDENSI PLATINUM MELATI,SMART ADVANCE RESOURCES SDN. BHD.,"300,000.00","1,626,500.00",2028,Lancar
3.07707,101.7168,RESIDENSI PLATINUM SAUJANA VIOLET 2 (PSV2),PEMBINAAN SERTA HEBAT SDN. BHD.,"512,000.00","1,123,000.00",2027,Lancar
3.20092,101.721,RESIDENSI PV 22,PLATINUM VICTORY DEVELOPMENT SDN. BHD.,"373,000.00","1,007,000.00",2027,Lancar
3.08304,101.6611,RESIDENSI RADIUM,RADIUM GLOBAL SDN. BHD.,"569,000.00","857,000.00",2027,Lancar
3.049352,101.658963,RESIDENSI RENAISANS BUKIT JALIL,GAYA KUASA SDN. BHD.,"537,000.00","1,262,800.00",2026,Lancar
3.186402,101.665423,RESIDENSI RIANA DUTAMAS 3,368 SEGAMBUT SDN. BHD.,"698,800.00","1,270,800.00",2028,Lancar
3.076063,101.655272,RESIDENSI RIVERVILLE 2,ALZAC DEVELOPMENT  SDN. BHD.,"430,000.00","681,000.00",2027,Lancar
3.080655,101.7159,RESIDENSI SATERIA,PEMBINAAN SERTA HEBAT SDN. BHD.,"150,000.00","250,000.00",2026,Lancar
3.04682,101.666124,RESIDENSI SEJAHTERA DAMAI (VELADAZ RESIDENCES @ BUKIT JALIL),EXSIM BUKIT JALIL CITY SDN. BHD.,"892,860.00","932,765.00",2026,Lancar
3.191274,101.704859,RESIDENSI SENTUL RIA,LIM SEONG HAI HOLDINGS SDN. BHD.,"479,000.00","698,000.00",2027,Lancar
3.046023,101.666341,RESIDENSI SERI LESTARI (THE VIVIDZ @ BUKIT JALIL),EXSIM BUKIT JALIL CITY SDN. BHD.,"460,822.00","827,811.00",2028,Lancar
3.066011,101.674647,RESIDENSI SERINA,AMBER HOMES SRI PETALING SDN. BHD.,"300,000.00","318,000.00",2026,Lancar
